-0.025865,-0.001874,-0.017131
-0.026041,-0.002327,-0.017636
-0.025982,-0.002243,-0.018168
-0.025521,-0.002607,-0.017923
-0.020343,0.028207,-0.025178
-0.020590,0.027352,-0.025508
-0.021048,0.027254,-0.025390
-0.020614,0.027394,-0.025780
0.016008,-0.037268,0.018690
0.015577,-0.037107,0.018234
0.016014,-0.037849,0.018865
0.016087,-0.037911,0.018013
0.013382,-0.037440,-0.003355
0.013207,-0.036382,-0.004029
0.013463,-0.036639,-0.003824
0.013830,-0.036420,-0.004633
0.008214,0.003035,-0.009426
0.008474,0.003354,-0.008649
0.009058,0.003219,-0.009169
0.008906,0.003379,-0.009331
-0.037613,-0.018244,0.017754
-0.038144,-0.018011,0.017423
-0.037745,-0.018090,0.017798
-0.038134,-0.018474,0.017789
0.028805,0.017732,-0.031648
0.028747,0.018267,-0.031990
0.028944,0.018733,-0.031463
0.029417,0.018891,-0.031657
-0.006943,-0.028457,0.007649
-0.006474,-0.028462,0.007080
-0.006527,-0.028314,0.007345
-0.006370,-0.028172,0.007421
-0.041527,-0.005978,0.004075
-0.041462,-0.005815,0.003903
-0.041582,-0.006227,0.004181
-0.041565,-0.005636,0.003968
0.007922,0.007630,-0.004397
0.008466,0.007794,-0.004337
0.007800,0.007238,-0.004974
0.007455,0.007709,-0.003871
-0.018640,0.034420,0.003924
-0.018823,0.034753,0.004124
-0.018342,0.034573,0.014173
-0.008213,0.046038,0.014051
0.034507,0.029031,0.038327
0.034290,0.028364,0.038468
0.033579,0.028395,0.038359
0.034339,0.028364,0.038280
-0.037165,-0.020697,-0.006779
-0.037254,-0.020572,-0.006028
-0.037397,-0.021342,-0.005868
-0.036681,-0.021213,-0.006757
0.017709,0.005120,-0.022289
0.017485,0.005419,-0.021654
0.018158,0.005471,-0.022374
0.017809,0.005120,-0.022191
0.013965,0.016610,0.019691
0.014059,0.016505,0.019622
0.013767,0.016104,0.019271
0.014016,0.016385,0.019705
0.034812,0.024739,0.024285
0.034059,0.024909,0.023866
0.034738,0.024898,0.023685
0.035019,0.024675,0.024230
0.001606,-0.017904,-0.009906
0.001687,-0.018304,-0.009446
0.001715,-0.018678,-0.009404
0.001137,-0.017862,-0.009560
-0.009832,0.019261,0.054079
-0.009660,0.019208,0.054609
-0.009820,0.018565,0.054028
-0.010239,0.019167,0.053979
-0.014939,0.035560,0.005098
-0.015269,0.036007,0.004842
-0.014895,0.035901,0.004710
-0.014878,0.035566,0.004921
0.014103,0.030201,0.011021
0.013737,0.029928,0.010736
0.013690,0.029961,0.010967
0.013915,0.029448,0.010831
0.038352,-0.004726,-0.000860
0.038998,-0.004351,-0.001044
